date,state,parlimen,dun,sex,age,ethnicity,population
2023-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,citizen,overall,12.1
2023-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,noncitizen,overall,0.1
2023-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,6.0
2023-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.2
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,12.4
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,citizen,overall,12.2
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,noncitizen,overall,0.2
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,6.1
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.3
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,13.9
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.6
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.2
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.0
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.9
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.0
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,citizen,overall,13.7
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,noncitizen,overall,0.2
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.0
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.9
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.1
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,citizen,overall,13.8
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,noncitizen,overall,0.3
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.1
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,7.0
2023-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.2
2023-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,citizen,overall,13.9
2023-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,noncitizen,overall,0.3
2023-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.2
2023-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,7.1
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.4
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,citizen,overall,14.0
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,noncitizen,overall,0.4
