date,state,parlimen,sex,age,ethnicity,population
2022-01-01,Kedah,P.011 Pendang,male,overall,overall,53.4
2023-01-01,Kedah,P.011 Pendang,both,citizen,overall,100.1
2023-01-01,Kedah,P.011 Pendang,both,noncitizen,overall,2.0
2023-01-01,Kedah,P.011 Pendang,both,overall,overall,102.0
2023-01-01,Kedah,P.011 Pendang,female,overall,overall,48.0
2023-01-01,Kedah,P.011 Pendang,male,overall,overall,54.1
2024-01-01,Kedah,P.011 Pendang,both,citizen,overall,101.1
2024-01-01,Kedah,P.011 Pendang,both,noncitizen,overall,2.3
2024-01-01,Kedah,P.011 Pendang,both,overall,overall,103.3
2024-01-01,Kedah,P.011 Pendang,female,overall,overall,48.5
2024-01-01,Kedah,P.011 Pendang,male,overall,overall,54.9
2020-01-01,Kedah,P.012 Jerai,both,overall,overall,126.2
2020-01-01,Kedah,P.012 Jerai,both,overall,citizen,124.6
2020-01-01,Kedah,P.012 Jerai,both,overall,noncitizen,1.6
2020-01-01,Kedah,P.012 Jerai,female,overall,overall,62.2
2020-01-01,Kedah,P.012 Jerai,male,overall,overall,64.0
2021-01-01,Kedah,P.012 Jerai,both,citizen,overall,125.9
2021-01-01,Kedah,P.012 Jerai,both,noncitizen,overall,1.5
2021-01-01,Kedah,P.012 Jerai,both,overall,overall,127.4
2021-01-01,Kedah,P.012 Jerai,female,overall,overall,62.8
2021-01-01,Kedah,P.012 Jerai,male,overall,overall,64.5
2022-01-01,Kedah,P.012 Jerai,both,citizen,overall,126.6
2022-01-01,Kedah,P.012 Jerai,both,noncitizen,overall,1.4
2022-01-01,Kedah,P.012 Jerai,both,overall,overall,128.0
2022-01-01,Kedah,P.012 Jerai,female,overall,overall,63.2
2022-01-01,Kedah,P.012 Jerai,male,overall,overall,64.8
2023-01-01,Kedah,P.012 Jerai,both,citizen,overall,128.0
2023-01-01,Kedah,P.012 Jerai,both,noncitizen,overall,1.6
2023-01-01,Kedah,P.012 Jerai,both,overall,overall,129.7
2023-01-01,Kedah,P.012 Jerai,female,overall,overall,63.9
2023-01-01,Kedah,P.012 Jerai,male,overall,overall,65.7
2024-01-01,Kedah,P.012 Jerai,both,citizen,overall,129.3
2024-01-01,Kedah,P.012 Jerai,both,noncitizen,overall,2.0
2024-01-01,Kedah,P.012 Jerai,both,overall,overall,131.2
2024-01-01,Kedah,P.012 Jerai,female,overall,overall,64.6
2024-01-01,Kedah,P.012 Jerai,male,overall,overall,66.6
2020-01-01,Kedah,P.013 Sik,both,overall,overall,67.6
2020-01-01,Kedah,P.013 Sik,both,overall,citizen,65.5
2020-01-01,Kedah,P.013 Sik,both,overall,noncitizen,2.1
2020-01-01,Kedah,P.013 Sik,female,overall,overall,33.1
2020-01-01,Kedah,P.013 Sik,male,overall,overall,34.5
2021-01-01,Kedah,P.013 Sik,both,citizen,overall,66.2
2021-01-01,Kedah,P.013 Sik,both,noncitizen,overall,2.0
2021-01-01,Kedah,P.013 Sik,both,overall,overall,68.3
2021-01-01,Kedah,P.013 Sik,female,overall,overall,33.5
2021-01-01,Kedah,P.013 Sik,male,overall,overall,34.8
