state,date,age_group,fertility_rate
Kedah,2008-01-01,15-19,9.0
Kedah,2008-01-01,20-24,77.0
Kedah,2008-01-01,25-29,178.0
Kedah,2008-01-01,30-34,150.0
Kedah,2008-01-01,35-39,83.0
Kedah,2008-01-01,40-44,26.0
Kedah,2008-01-01,45-49,2.0
Kedah,2008-01-01,tfr,2.63
Kedah,2009-01-01,15-19,10.0
Kedah,2009-01-01,20-24,78.0
Kedah,2009-01-01,25-29,180.0
Kedah,2009-01-01,30-34,152.0
Kedah,2009-01-01,35-39,83.0
Kedah,2009-01-01,40-44,26.0
Kedah,2009-01-01,45-49,2.0
Kedah,2009-01-01,tfr,2.66
Kedah,2010-01-01,15-19,9.0
Kedah,2010-01-01,20-24,71.0
Kedah,2010-01-01,25-29,178.0
Kedah,2010-01-01,30-34,152.0
Kedah,2010-01-01,35-39,80.0
Kedah,2010-01-01,40-44,24.0
Kedah,2010-01-01,45-49,2.0
Kedah,2010-01-01,tfr,2.58
Kedah,2011-01-01,15-19,9.0
Kedah,2011-01-01,20-24,64.0
Kedah,2011-01-01,25-29,184.0
Kedah,2011-01-01,30-34,159.0
Kedah,2011-01-01,35-39,82.0
Kedah,2011-01-01,40-44,23.0
Kedah,2011-01-01,45-49,2.0
Kedah,2011-01-01,tfr,2.61
Kedah,2012-01-01,15-19,9.0
Kedah,2012-01-01,20-24,61.0
Kedah,2012-01-01,25-29,178.0
Kedah,2012-01-01,30-34,163.0
Kedah,2012-01-01,35-39,85.0
Kedah,2012-01-01,40-44,22.0
Kedah,2012-01-01,45-49,2.0
Kedah,2012-01-01,tfr,2.6
Kedah,2013-01-01,15-19,8.0
Kedah,2013-01-01,20-24,57.0
Kedah,2013-01-01,25-29,168.0
Kedah,2013-01-01,30-34,150.0
Kedah,2013-01-01,35-39,79.0
Kedah,2013-01-01,40-44,20.0
Kedah,2013-01-01,45-49,2.0
Kedah,2013-01-01,tfr,2.42
Kedah,2014-01-01,15-19,9.0
Kedah,2014-01-01,20-24,54.0
Kedah,2014-01-01,25-29,166.0
Kedah,2014-01-01,30-34,156.0
Kedah,2014-01-01,35-39,86.0
Kedah,2014-01-01,40-44,22.0
Kedah,2014-01-01,45-49,2.0
Kedah,2014-01-01,tfr,2.47
Kedah,2015-01-01,15-19,8.0
Kedah,2015-01-01,20-24,52.0
Kedah,2015-01-01,25-29,159.0
Kedah,2015-01-01,30-34,154.0
Kedah,2015-01-01,35-39,85.0
Kedah,2015-01-01,40-44,22.0
Kedah,2015-01-01,45-49,1.0
Kedah,2015-01-01,tfr,2.41
Kedah,2016-01-01,15-19,7.0
Kedah,2016-01-01,20-24,51.0
Kedah,2016-01-01,25-29,146.0
Kedah,2016-01-01,30-34,149.0
Kedah,2016-01-01,35-39,85.0
Kedah,2016-01-01,40-44,22.0
Kedah,2016-01-01,45-49,1.0
Kedah,2016-01-01,tfr,2.31
Kedah,2017-01-01,15-19,7.0
Kedah,2017-01-01,20-24,50.0
Kedah,2017-01-01,25-29,140.0
Kedah,2017-01-01,30-34,150.0
Kedah,2017-01-01,35-39,88.0
Kedah,2017-01-01,40-44,24.0
Kedah,2017-01-01,45-49,2.0
Kedah,2017-01-01,tfr,2.31
Kedah,2018-01-01,15-19,6.83
Kedah,2018-01-01,20-24,46.58
Kedah,2018-01-01,25-29,131.5
Kedah,2018-01-01,30-34,144.31
Kedah,2018-01-01,35-39,87.38
Kedah,2018-01-01,40-44,22.04
Kedah,2018-01-01,45-49,1.37
Kedah,2018-01-01,tfr,2.2
Kedah,2019-01-01,15-19,6.97
Kedah,2019-01-01,20-24,43.95
Kedah,2019-01-01,25-29,124.02
Kedah,2019-01-01,30-34,135.05
Kedah,2019-01-01,35-39,84.76
Kedah,2019-01-01,40-44,22.73
Kedah,2019-01-01,45-49,1.43
Kedah,2019-01-01,tfr,2.09
Kedah,2020-01-01,15-19,6.81
Kedah,2020-01-01,20-24,43.54
Kedah,2020-01-01,25-29,118.51
Kedah,2020-01-01,30-34,129.7
Kedah,2020-01-01,35-39,82.78
Kedah,2020-01-01,40-44,22.73
Kedah,2020-01-01,45-49,1.37
Kedah,2020-01-01,tfr,2.03
Kedah,2021-01-01,15-19,6.06
Kedah,2021-01-01,20-24,42.93
Kedah,2021-01-01,25-29,119.12
Kedah,2021-01-01,30-34,126.34
Kedah,2021-01-01,35-39,87.14
Kedah,2021-01-01,40-44,21.96
Kedah,2021-01-01,45-49,1.46
Kedah,2021-01-01,tfr,2.03
Kedah,2022-01-01,15-19,6.0
Kedah,2022-01-01,20-24,44.0
Kedah,2022-01-01,25-29,111.0
Kedah,2022-01-01,30-34,110.0
Kedah,2022-01-01,35-39,74.0
Kedah,2022-01-01,40-44,20.0
Kedah,2022-01-01,45-49,1.0
Kedah,2022-01-01,tfr,1.83
Kedah,2023-01-01,15-19,9.0
Kedah,2023-01-01,20-24,48.0
Kedah,2023-01-01,25-29,115.0
Kedah,2023-01-01,30-34,118.0
Kedah,2023-01-01,35-39,81.0
Kedah,2023-01-01,40-44,23.0
Kedah,2023-01-01,45-49,1.0
Kedah,2023-01-01,tfr,1.98
Kedah,2024-01-01,15-19,8.0
Kedah,2024-01-01,20-24,42.0
Kedah,2024-01-01,25-29,102.0
Kedah,2024-01-01,30-34,104.0
Kedah,2024-01-01,35-39,72.0
