date,state,district,sex,abs,rate
2024-01-01,Kedah,Bandar Baharu,female,332,14.9
2024-01-01,Kedah,Bandar Baharu,male,314,13.4
2024-01-01,Kedah,Kota Setar,both,5344,14.0
2024-01-01,Kedah,Kota Setar,female,2544,13.2
2024-01-01,Kedah,Kota Setar,male,2800,14.8
2024-01-01,Kedah,Kuala Muda,both,6997,12.2
2024-01-01,Kedah,Kuala Muda,female,3432,12.5
2024-01-01,Kedah,Kuala Muda,male,3565,12.1
2024-01-01,Kedah,Kubang Pasu,both,3394,13.4
2024-01-01,Kedah,Kubang Pasu,female,1681,13.1
2024-01-01,Kedah,Kubang Pasu,male,1713,13.7
2024-01-01,Kedah,Kulim,both,4197,11.9
2024-01-01,Kedah,Kulim,female,2070,12.1
2024-01-01,Kedah,Kulim,male,2127,11.8
2024-01-01,Kedah,Langkawi,both,1622,16.2
2024-01-01,Kedah,Langkawi,female,763,15.9
2024-01-01,Kedah,Langkawi,male,859,16.6
2024-01-01,Kedah,Padang Terap,both,1133,16.7
2024-01-01,Kedah,Padang Terap,female,544,16.7
2024-01-01,Kedah,Padang Terap,male,589,16.8
2024-01-01,Kedah,Pendang,both,1757,17.3
2024-01-01,Kedah,Pendang,female,847,17.7
2024-01-01,Kedah,Pendang,male,910,17.0
2024-01-01,Kedah,Pokok Sena,both,897,17.6
2024-01-01,Kedah,Pokok Sena,female,445,19.2
2024-01-01,Kedah,Pokok Sena,male,452,16.3
2024-01-01,Kedah,Sik,both,1144,16.3
2024-01-01,Kedah,Sik,female,556,16.2
2024-01-01,Kedah,Sik,male,588,16.5
2024-01-01,Kedah,Yan,both,1019,13.6
2024-01-01,Kedah,Yan,female,503,13.8
2024-01-01,Kedah,Yan,male,516,13.4
2020-01-01,Kelantan,Bachok,both,2941,18.696757787666876
2020-01-01,Kelantan,Bachok,female,1456,17.953144266337855
2020-01-01,Kelantan,Bachok,male,1485,19.488188976377952
2020-01-01,Kelantan,Gua Musang,both,2239,21.972522080471048
2020-01-01,Kelantan,Gua Musang,female,1091,23.16348195329087
2020-01-01,Kelantan,Gua Musang,male,1148,20.987202925045704
2020-01-01,Kelantan,Jeli,both,1038,18.976234003656305
2020-01-01,Kelantan,Jeli,female,511,18.71794871794872
2020-01-01,Kelantan,Jeli,male,527,19.23357664233577
2020-01-01,Kelantan,Kota Bharu,both,11285,20.30406621086722
2020-01-01,Kelantan,Kota Bharu,female,5382,19.359712230215827
2020-01-01,Kelantan,Kota Bharu,male,5903,21.24910007199424
2020-01-01,Kelantan,Kuala Krai,both,2402,22.876190476190477
2020-01-01,Kelantan,Kuala Krai,female,1158,22.22648752399232
2020-01-01,Kelantan,Kuala Krai,male,1244,23.516068052930056
2020-01-01,Kelantan,Machang,both,2151,19.554545454545455
2020-01-01,Kelantan,Machang,female,1037,18.752260397830018
2020-01-01,Kelantan,Machang,male,1114,20.36563071297989
2020-01-01,Kelantan,Pasir Mas,both,4412,19.149305555555554
2020-01-01,Kelantan,Pasir Mas,female,2132,18.75109938434477
2020-01-01,Kelantan,Pasir Mas,male,2280,19.52054794520548
2020-01-01,Kelantan,Pasir Puteh,both,3102,22.775330396475773
2020-01-01,Kelantan,Pasir Puteh,female,1490,21.688500727802037
2020-01-01,Kelantan,Pasir Puteh,male,1612,23.916913946587535
2020-01-01,Kelantan,Tanah Merah,both,2817,18.680371352785144
2020-01-01,Kelantan,Tanah Merah,female,1356,18.499317871759892
2020-01-01,Kelantan,Tanah Merah,male,1461,18.851612903225806
2020-01-01,Kelantan,Tumpat,both,3833,21.30628126737076
2020-01-01,Kelantan,Tumpat,female,1896,20.88105726872247
2020-01-01,Kelantan,Tumpat,male,1937,21.7152466367713
2021-01-01,Kelantan,Bachok,both,3270,20.578980490874763
2021-01-01,Kelantan,Bachok,female,1565,19.10866910866911
2021-01-01,Kelantan,Bachok,male,1705,22.142857142857142
2021-01-01,Kelantan,Gua Musang,both,1827,17.82439024390244
2021-01-01,Kelantan,Gua Musang,female,894,18.742138364779873
2021-01-01,Kelantan,Gua Musang,male,933,16.994535519125684
2021-01-01,Kelantan,Jeli,both,891,16.02517985611511
2021-01-01,Kelantan,Jeli,female,450,16.18705035971223
2021-01-01,Kelantan,Jeli,male,441,15.863309352517986
2021-01-01,Kelantan,Kecil Lojing,both,252,23.55140186915888
2021-01-01,Kelantan,Kecil Lojing,female,136,26.666666666666668
2021-01-01,Kelantan,Kecil Lojing,male,116,21.09090909090909
2021-01-01,Kelantan,Kota Bharu,both,10529,18.72155049786629
2021-01-01,Kelantan,Kota Bharu,female,5194,18.470839260312943
2021-01-01,Kelantan,Kota Bharu,male,5335,18.972261735419632
2021-01-01,Kelantan,Kuala Krai,both,2243,21.18035882908404
2021-01-01,Kelantan,Kuala Krai,female,1098,20.874524714828897
2021-01-01,Kelantan,Kuala Krai,male,1145,21.52255639097744
