state,date,sex,ethnicity,abs
Johor,2012-01-01,male,bumi_malay,5474.0
Johor,2012-01-01,both,bumi_other,142.0
Johor,2012-01-01,female,bumi_other,62.0
Johor,2012-01-01,male,bumi_other,80.0
Johor,2012-01-01,both,chinese,5599.0
Johor,2012-01-01,female,chinese,2341.0
Johor,2012-01-01,male,chinese,3258.0
Johor,2012-01-01,both,indian,1264.0
Johor,2012-01-01,female,indian,442.0
Johor,2012-01-01,male,indian,822.0
Johor,2012-01-01,both,other_citizen,124.0
Johor,2012-01-01,female,other_citizen,42.0
Johor,2012-01-01,male,other_citizen,82.0
Johor,2012-01-01,both,other_noncitizen,450.0
Johor,2012-01-01,female,other_noncitizen,177.0
Johor,2012-01-01,male,other_noncitizen,273.0
Johor,2012-01-01,both,overall,17201.0
Johor,2012-01-01,female,overall,7212.0
Johor,2012-01-01,male,overall,9989.0
Johor,2013-01-01,both,bumi_malay,9858.0
Johor,2013-01-01,female,bumi_malay,4231.0
Johor,2013-01-01,male,bumi_malay,5627.0
Johor,2013-01-01,both,bumi_other,143.0
Johor,2013-01-01,female,bumi_other,54.0
Johor,2013-01-01,male,bumi_other,89.0
Johor,2013-01-01,both,chinese,5779.0
Johor,2013-01-01,female,chinese,2326.0
Johor,2013-01-01,male,chinese,3453.0
Johor,2013-01-01,both,indian,1372.0
Johor,2013-01-01,female,indian,508.0
Johor,2013-01-01,male,indian,864.0
Johor,2013-01-01,both,other_citizen,126.0
Johor,2013-01-01,female,other_citizen,47.0
Johor,2013-01-01,male,other_citizen,79.0
Johor,2013-01-01,both,other_noncitizen,418.0
Johor,2013-01-01,female,other_noncitizen,169.0
Johor,2013-01-01,male,other_noncitizen,249.0
Johor,2013-01-01,both,overall,17696.0
Johor,2013-01-01,female,overall,7335.0
Johor,2013-01-01,male,overall,10361.0
Johor,2014-01-01,both,bumi_malay,9875.0
Johor,2014-01-01,female,bumi_malay,4204.0
Johor,2014-01-01,male,bumi_malay,5671.0
Johor,2014-01-01,both,bumi_other,145.0
Johor,2014-01-01,female,bumi_other,55.0
Johor,2014-01-01,male,bumi_other,90.0
Johor,2014-01-01,both,chinese,5945.0
Johor,2014-01-01,female,chinese,2448.0
Johor,2014-01-01,male,chinese,3497.0
Johor,2014-01-01,both,indian,1390.0
Johor,2014-01-01,female,indian,485.0
Johor,2014-01-01,male,indian,905.0
Johor,2014-01-01,both,other_citizen,122.0
Johor,2014-01-01,female,other_citizen,36.0
Johor,2014-01-01,male,other_citizen,86.0
Johor,2014-01-01,both,other_noncitizen,427.0
Johor,2014-01-01,female,other_noncitizen,159.0
Johor,2014-01-01,male,other_noncitizen,268.0
Johor,2014-01-01,both,overall,17904.0
Johor,2014-01-01,female,overall,7387.0
Johor,2014-01-01,male,overall,10517.0
Johor,2015-01-01,both,bumi_malay,10474.0
Johor,2015-01-01,female,bumi_malay,4466.0
Johor,2015-01-01,male,bumi_malay,6008.0
Johor,2015-01-01,both,bumi_other,165.0
Johor,2015-01-01,female,bumi_other,76.0
Johor,2015-01-01,male,bumi_other,89.0
Johor,2015-01-01,both,chinese,6178.0
Johor,2015-01-01,female,chinese,2509.0
Johor,2015-01-01,male,chinese,3669.0
Johor,2015-01-01,both,indian,1478.0
Johor,2015-01-01,female,indian,551.0
Johor,2015-01-01,male,indian,927.0
Johor,2015-01-01,both,other_citizen,125.0
Johor,2015-01-01,female,other_citizen,39.0
Johor,2015-01-01,male,other_citizen,86.0
Johor,2015-01-01,both,other_noncitizen,433.0
Johor,2015-01-01,female,other_noncitizen,167.0
Johor,2015-01-01,male,other_noncitizen,266.0
Johor,2015-01-01,both,overall,18853.0
Johor,2015-01-01,female,overall,7808.0
Johor,2015-01-01,male,overall,11045.0
Johor,2016-01-01,both,bumi_malay,11156.0
Johor,2016-01-01,female,bumi_malay,4767.0
Johor,2016-01-01,male,bumi_malay,6389.0
Johor,2016-01-01,both,bumi_other,176.0
Johor,2016-01-01,female,bumi_other,70.0
Johor,2016-01-01,male,bumi_other,106.0
Johor,2016-01-01,both,chinese,6404.0
Johor,2016-01-01,female,chinese,2599.0
Johor,2016-01-01,male,chinese,3805.0
Johor,2016-01-01,both,indian,1550.0
Johor,2016-01-01,female,indian,580.0
Johor,2016-01-01,male,indian,970.0
Johor,2016-01-01,both,other_citizen,151.0
Johor,2016-01-01,female,other_citizen,52.0
