date,percentile,variable,income
2024-01-01,53,minimum,7367.0
2024-01-01,54,minimum,7535.0
2024-01-01,55,minimum,7682.0
2024-01-01,56,minimum,7820.0
2024-01-01,57,minimum,7952.0
2024-01-01,58,minimum,8102.0
2024-01-01,59,minimum,8308.0
2024-01-01,60,minimum,8470.0
2024-01-01,61,minimum,8599.0
2024-01-01,62,minimum,8742.0
2024-01-01,63,minimum,8878.0
2024-01-01,64,minimum,9033.0
2024-01-01,65,minimum,9188.0
2024-01-01,66,minimum,9344.0
2024-01-01,67,minimum,9509.0
2024-01-01,68,minimum,9678.0
2024-01-01,69,minimum,9864.0
2024-01-01,70,minimum,10101.0
2024-01-01,71,minimum,10284.0
2024-01-01,72,minimum,10456.0
2024-01-01,73,minimum,10628.0
2024-01-01,74,minimum,10803.0
2024-01-01,75,minimum,10984.0
2024-01-01,76,minimum,11161.0
2024-01-01,77,minimum,11378.0
2024-01-01,78,minimum,11628.0
2024-01-01,79,minimum,12052.0
2024-01-01,80,minimum,12400.0
2024-01-01,81,minimum,12682.0
2024-01-01,82,minimum,12901.0
2024-01-01,83,minimum,13217.0
2024-01-01,84,minimum,13511.0
2024-01-01,85,minimum,13792.0
2024-01-01,86,minimum,14112.0
2024-01-01,87,minimum,14465.0
2024-01-01,88,minimum,14939.0
2024-01-01,89,minimum,15425.0
2024-01-01,90,minimum,15911.0
2024-01-01,91,minimum,16517.0
2024-01-01,92,minimum,17151.0
2024-01-01,93,minimum,17938.0
2024-01-01,94,minimum,18891.0
2024-01-01,95,minimum,19936.0
2024-01-01,96,minimum,21425.0
2024-01-01,97,minimum,23444.0
2024-01-01,98,minimum,26057.0
2024-01-01,99,minimum,30564.0
2024-01-01,100,minimum,40195.0
2024-01-01,1,maximum,1556.0
2024-01-01,2,maximum,1805.0
2024-01-01,3,maximum,2008.0
2024-01-01,4,maximum,2161.0
2024-01-01,5,maximum,2298.0
2024-01-01,6,maximum,2437.0
2024-01-01,7,maximum,2553.0
2024-01-01,8,maximum,2663.0
2024-01-01,9,maximum,2782.0
2024-01-01,10,maximum,2889.0
2024-01-01,11,maximum,2986.0
2024-01-01,12,maximum,3077.0
2024-01-01,13,maximum,3165.0
2024-01-01,14,maximum,3259.0
2024-01-01,15,maximum,3354.0
2024-01-01,16,maximum,3445.0
2024-01-01,17,maximum,3539.0
2024-01-01,18,maximum,3635.0
2024-01-01,19,maximum,3724.0
2024-01-01,20,maximum,3815.0
2024-01-01,21,maximum,3913.0
2024-01-01,22,maximum,4022.0
2024-01-01,23,maximum,4126.0
2024-01-01,24,maximum,4224.0
2024-01-01,25,maximum,4326.0
2024-01-01,26,maximum,4427.0
2024-01-01,27,maximum,4528.0
2024-01-01,28,maximum,4633.0
2024-01-01,29,maximum,4738.0
2024-01-01,30,maximum,4841.0
2024-01-01,31,maximum,4944.0
2024-01-01,32,maximum,5051.0
2024-01-01,33,maximum,5145.0
2024-01-01,34,maximum,5247.0
2024-01-01,35,maximum,5351.0
2024-01-01,36,maximum,5454.0
2024-01-01,37,maximum,5559.0
2024-01-01,38,maximum,5658.0
2024-01-01,39,maximum,5760.0
2024-01-01,40,maximum,5858.0
2024-01-01,41,maximum,5960.0
2024-01-01,42,maximum,6114.0
2024-01-01,43,maximum,6274.0
2024-01-01,44,maximum,6394.0
2024-01-01,45,maximum,6506.0
2024-01-01,46,maximum,6612.0
2024-01-01,47,maximum,6723.0
2024-01-01,48,maximum,6822.0
2024-01-01,49,maximum,6924.0
2024-01-01,50,maximum,7017.0
2024-01-01,51,maximum,7190.0
2024-01-01,52,maximum,7366.0
2024-01-01,53,maximum,7534.0
2024-01-01,54,maximum,7682.0
2024-01-01,55,maximum,7820.0
2024-01-01,56,maximum,7951.0
2024-01-01,57,maximum,8102.0
2024-01-01,58,maximum,8308.0
2024-01-01,59,maximum,8470.0
2024-01-01,60,maximum,8599.0
2024-01-01,61,maximum,8742.0
2024-01-01,62,maximum,8877.0
2024-01-01,63,maximum,9033.0
2024-01-01,64,maximum,9188.0
2024-01-01,65,maximum,9343.0
2024-01-01,66,maximum,9507.0
2024-01-01,67,maximum,9678.0
2024-01-01,68,maximum,9864.0
2024-01-01,69,maximum,10100.0
2024-01-01,70,maximum,10284.0
2024-01-01,71,maximum,10456.0
2024-01-01,72,maximum,10628.0
2024-01-01,73,maximum,10803.0
