state,district,date,poverty_absolute,poverty_relative
Sabah,Tongod,2022-01-01,50.8,23.7
Sabah,Tongod,2024-01-01,41.5,28.0
Sabah,Tuaran,2019-01-01,16.7,16.5
Sabah,Tuaran,2022-01-01,25.8,19.2
Sabah,Tuaran,2024-01-01,23.7,13.9
Sabah,Membakut,2024-01-01,27.4,21.4
Sarawak,Asajaya,2019-01-01,20.0,28.4
Sarawak,Asajaya,2022-01-01,17.9,19.9
Sarawak,Asajaya,2024-01-01,14.0,26.2
Sarawak,Bau,2019-01-01,9.6,13.0
Sarawak,Bau,2022-01-01,8.3,18.7
Sarawak,Bau,2024-01-01,6.2,17.8
Sarawak,Belaga,2019-01-01,6.9,21.4
Sarawak,Belaga,2022-01-01,19.5,28.1
Sarawak,Belaga,2024-01-01,13.6,27.3
Sarawak,Beluru,2019-01-01,12.0,22.2
Sarawak,Beluru,2022-01-01,13.7,18.9
Sarawak,Beluru,2024-01-01,10.1,11.6
Sarawak,Betong,2019-01-01,22.4,31.3
Sarawak,Betong,2022-01-01,9.8,21.3
Sarawak,Betong,2024-01-01,7.6,23.9
Sarawak,Bintulu,2019-01-01,2.1,2.6
Sarawak,Bintulu,2022-01-01,3.5,1.9
Sarawak,Bintulu,2024-01-01,3.7,3.2
Sarawak,Bukit Mabong,2019-01-01,28.7,21.6
Sarawak,Bukit Mabong,2022-01-01,8.2,39.2
Sarawak,Bukit Mabong,2024-01-01,6.3,54.2
Sarawak,Dalat,2019-01-01,11.9,20.5
Sarawak,Dalat,2022-01-01,11.1,19.0
Sarawak,Dalat,2024-01-01,10.1,31.9
Sarawak,Daro,2019-01-01,18.5,25.8
Sarawak,Daro,2022-01-01,32.5,34.5
Sarawak,Daro,2024-01-01,26.8,27.7
Sarawak,Julau,2019-01-01,13.0,43.2
Sarawak,Julau,2022-01-01,31.2,46.8
Sarawak,Julau,2024-01-01,26.6,38.0
Sarawak,Kabong,2019-01-01,16.1,32.7
Sarawak,Kabong,2022-01-01,8.6,26.9
Sarawak,Kabong,2024-01-01,4.5,34.1
Sarawak,Kanowit,2019-01-01,21.9,41.8
Sarawak,Kanowit,2022-01-01,24.9,45.7
Sarawak,Kanowit,2024-01-01,21.8,33.3
Sarawak,Kapit,2019-01-01,3.8,18.2
Sarawak,Kapit,2022-01-01,20.6,37.9
Sarawak,Kapit,2024-01-01,15.5,36.2
Sarawak,Kuching,2019-01-01,5.6,7.4
Sarawak,Kuching,2022-01-01,9.1,10.1
Sarawak,Kuching,2024-01-01,7.7,7.9
Sarawak,Lawas,2019-01-01,14.4,16.1
Sarawak,Lawas,2022-01-01,18.1,33.7
Sarawak,Lawas,2024-01-01,14.6,28.1
Sarawak,Limbang,2019-01-01,11.0,16.2
Sarawak,Limbang,2022-01-01,14.6,20.5
Sarawak,Limbang,2024-01-01,14.4,31.1
Sarawak,Lubok Antu,2019-01-01,7.9,32.1
Sarawak,Lubok Antu,2022-01-01,14.8,32.7
Sarawak,Lundu,2019-01-01,10.2,25.0
Sarawak,Lundu,2022-01-01,13.1,23.2
Sarawak,Lundu,2024-01-01,12.9,26.9
Sarawak,Maradong,2019-01-01,12.7,32.4
Sarawak,Maradong,2022-01-01,19.5,36.4
Sarawak,Maradong,2024-01-01,16.9,37.2
Sarawak,Marudi,2019-01-01,16.9,26.1
Sarawak,Marudi,2022-01-01,12.9,20.6
Sarawak,Marudi,2024-01-01,4.4,17.7
Sarawak,Matu,2019-01-01,24.1,35.3
Sarawak,Matu,2022-01-01,20.8,30.8
Sarawak,Matu,2024-01-01,9.1,27.3
Sarawak,Miri,2019-01-01,4.7,6.0
Sarawak,Miri,2022-01-01,6.3,6.0
Sarawak,Miri,2024-01-01,3.8,3.5
Sarawak,Mukah,2019-01-01,10.4,16.8
Sarawak,Mukah,2022-01-01,14.0,21.4
Sarawak,Mukah,2024-01-01,11.9,18.8
Sarawak,Pakan,2019-01-01,21.7,38.1
Sarawak,Pakan,2022-01-01,17.6,29.4
Sarawak,Pakan,2024-01-01,14.5,30.9
Sarawak,Pusa,2019-01-01,23.0,44.0
Sarawak,Pusa,2022-01-01,17.2,28.0
Sarawak,Pusa,2024-01-01,14.6,42.7
Sarawak,Samarahan,2019-01-01,4.7,6.5
Sarawak,Samarahan,2022-01-01,7.9,6.7
Sarawak,Samarahan,2024-01-01,6.3,7.2
Sarawak,Saratok,2019-01-01,13.8,28.6
Sarawak,Saratok,2022-01-01,7.4,12.6
Sarawak,Saratok,2024-01-01,5.0,32.9
Sarawak,Sarikei,2019-01-01,9.1,25.4
Sarawak,Sarikei,2022-01-01,20.9,30.0
Sarawak,Sarikei,2024-01-01,17.8,20.5
Sarawak,Sebauh,2019-01-01,7.4,14.5
Sarawak,Sebauh,2022-01-01,4.8,16.9
Sarawak,Sebauh,2024-01-01,2.9,17.4
Sarawak,Selangau,2019-01-01,14.3,38.2
Sarawak,Selangau,2022-01-01,19.6,38.0
Sarawak,Selangau,2024-01-01,17.2,20.2
Sarawak,Serian,2019-01-01,16.8,20.0
Sarawak,Serian,2022-01-01,14.6,22.7
Sarawak,Serian,2024-01-01,11.8,25.5
Sarawak,Sibu,2019-01-01,7.3,11.0
Sarawak,Sibu,2022-01-01,10.2,14.8
Sarawak,Sibu,2024-01-01,6.3,10.1
Sarawak,Simunjan,2019-01-01,21.1,35.6
Sarawak,Simunjan,2022-01-01,17.9,33.8
Sarawak,Simunjan,2024-01-01,14.9,35.5
Sarawak,Song,2019-01-01,6.0,40.0
Sarawak,Song,2022-01-01,15.8,41.2
Sarawak,Song,2024-01-01,11.3,40.8
Sarawak,Sri Aman,2019-01-01,7.4,20.7
Sarawak,Sri Aman,2022-01-01,8.9,28.4
Sarawak,Sri Aman,2024-01-01,6.2,25.2
Sarawak,Subis,2019-01-01,7.5,10.0
Sarawak,Subis,2022-01-01,4.7,14.0
Sarawak,Subis,2024-01-01,2.4,4.7
Sarawak,Tanjung Manis,2019-01-01,3.4,25.0
Sarawak,Tanjung Manis,2022-01-01,20.7,33.7
Sarawak,Tanjung Manis,2024-01-01,15.4,35.9
Sarawak,Tatau,2019-01-01,5.0,8.7
Sarawak,Tatau,2022-01-01,5.9,14.1
