date,state,type,staff
2017-01-01,Negeri Sembilan,all,5779
2018-01-01,Negeri Sembilan,all,6157
2019-01-01,Negeri Sembilan,all,6479
2020-01-01,Negeri Sembilan,all,8023
2021-01-01,Negeri Sembilan,all,7030
2022-01-01,Negeri Sembilan,all,7248
2014-01-01,Negeri Sembilan,dentist,203
2015-01-01,Negeri Sembilan,dentist,223
2016-01-01,Negeri Sembilan,dentist,209
2017-01-01,Negeri Sembilan,dentist,285
2018-01-01,Negeri Sembilan,dentist,359
2019-01-01,Negeri Sembilan,dentist,417
2020-01-01,Negeri Sembilan,dentist,463
2021-01-01,Negeri Sembilan,dentist,476
2022-01-01,Negeri Sembilan,dentist,463
2014-01-01,Negeri Sembilan,doctor,1504
2015-01-01,Negeri Sembilan,doctor,1502
2016-01-01,Negeri Sembilan,doctor,1619
2017-01-01,Negeri Sembilan,doctor,1946
2018-01-01,Negeri Sembilan,doctor,2335
2019-01-01,Negeri Sembilan,doctor,2444
2020-01-01,Negeri Sembilan,doctor,2595
2021-01-01,Negeri Sembilan,doctor,2698
2022-01-01,Negeri Sembilan,doctor,2876
2014-01-01,Negeri Sembilan,nurse,2352
2015-01-01,Negeri Sembilan,nurse,2479
2016-01-01,Negeri Sembilan,nurse,2585
2017-01-01,Negeri Sembilan,nurse,2631
2018-01-01,Negeri Sembilan,nurse,2591
2019-01-01,Negeri Sembilan,nurse,2736
2020-01-01,Negeri Sembilan,nurse,4123
2021-01-01,Negeri Sembilan,nurse,3050
2022-01-01,Negeri Sembilan,nurse,3037
2014-01-01,Negeri Sembilan,nurse_community,943
2015-01-01,Negeri Sembilan,nurse_community,928
2016-01-01,Negeri Sembilan,nurse_community,916
2017-01-01,Negeri Sembilan,nurse_community,917
2018-01-01,Negeri Sembilan,nurse_community,872
2019-01-01,Negeri Sembilan,nurse_community,882
2020-01-01,Negeri Sembilan,nurse_community,842
2021-01-01,Negeri Sembilan,nurse_community,806
2022-01-01,Negeri Sembilan,nurse_community,872
2014-01-01,Pahang,all,7356
2015-01-01,Pahang,all,7655
2016-01-01,Pahang,all,7925
2017-01-01,Pahang,all,8026
2018-01-01,Pahang,all,8347
2019-01-01,Pahang,all,9050
2020-01-01,Pahang,all,9042
2021-01-01,Pahang,all,9427
2022-01-01,Pahang,all,9586
2014-01-01,Pahang,dentist,289
2015-01-01,Pahang,dentist,351
2016-01-01,Pahang,dentist,419
2017-01-01,Pahang,dentist,448
2018-01-01,Pahang,dentist,487
2019-01-01,Pahang,dentist,551
2020-01-01,Pahang,dentist,573
2021-01-01,Pahang,dentist,630
2022-01-01,Pahang,dentist,624
2014-01-01,Pahang,doctor,1636
2015-01-01,Pahang,doctor,1630
2016-01-01,Pahang,doctor,1691
