date,basins_monitored,measure,status,n_basins,proportion
2017-01-01,140,nh3n,slightly__polluted,86,61.42857142857143
2017-01-01,140,nh3n,polluted,43,30.714285714285715
2017-01-01,140,ss,clean,65,46.42857142857143
2017-01-01,140,ss,slightly__polluted,45,32.142857142857146
2017-01-01,140,ss,polluted,30,21.428571428571427
2018-01-01,143,bod5,clean,54,37.76223776223776
2018-01-01,143,bod5,slightly__polluted,37,25.874125874125873
2018-01-01,143,bod5,polluted,52,36.36363636363637
2018-01-01,143,nh3n,clean,5,3.4965034965034967
2018-01-01,143,nh3n,slightly__polluted,88,61.53846153846154
2018-01-01,143,nh3n,polluted,50,34.96503496503497
2018-01-01,143,ss,clean,71,49.65034965034965
2018-01-01,143,ss,slightly__polluted,31,21.678321678321677
2018-01-01,143,ss,polluted,41,28.671328671328673
2019-01-01,144,bod5,clean,53,36.80555555555556
2019-01-01,144,bod5,slightly__polluted,39,27.083333333333332
2019-01-01,144,bod5,polluted,52,36.11111111111111
2019-01-01,144,nh3n,clean,12,8.333333333333332
2019-01-01,144,nh3n,slightly__polluted,74,51.388888888888886
2019-01-01,144,nh3n,polluted,58,40.27777777777778
2019-01-01,144,ss,clean,78,54.166666666666664
2019-01-01,144,ss,slightly__polluted,36,25.0
2019-01-01,144,ss,polluted,30,20.833333333333336
2020-01-01,144,bod5,clean,83,57.638888888888886
2020-01-01,144,bod5,slightly__polluted,46,31.944444444444443
2020-01-01,144,bod5,polluted,15,10.416666666666668
2020-01-01,144,nh3n,clean,28,19.444444444444446
2020-01-01,144,nh3n,slightly__polluted,74,51.388888888888886
2020-01-01,144,nh3n,polluted,42,29.166666666666668
2020-01-01,144,ss,clean,110,76.38888888888889
2020-01-01,144,ss,slightly__polluted,14,9.722222222222223
2020-01-01,144,ss,polluted,20,13.88888888888889
2021-01-01,144,bod5,clean,124,86.11111111111111
2021-01-01,144,bod5,slightly__polluted,11,7.638888888888889
2021-01-01,144,bod5,polluted,9,6.25
2021-01-01,144,nh3n,clean,58,40.27777777777778
2021-01-01,144,nh3n,slightly__polluted,37,25.694444444444443
2021-01-01,144,nh3n,polluted,49,34.02777777777778
2021-01-01,144,ss,clean,127,88.19444444444444
2021-01-01,144,ss,slightly__polluted,7,4.861111111111112
2021-01-01,144,ss,polluted,10,6.944444444444445
